column_name,data_type,nullable,default_value,rule,transform_logic,clustering_key,business_key,description
CUSTOMER_SK,"NUMBER(38,0)",false,,surrogate key,,false,false,Surrogate key generated by DBT
CUSTOMER_ID,VARCHAR(64),false,,,,false,true,Natural key from source
CUSTOMER_NAME,VARCHAR(256),true,,,,false,false,Full customer name
EMAIL_HASHED,VARCHAR(64),true,,PII,SHA2(EMAIL),false,false,Hashed email for PII protection
COUNTRY_CODE,VARCHAR(3),true,,,,false,false,ISO country code
IS_ACTIVE,BOOLEAN,false,TRUE,,,false,false,Active flag
VALID_FROM,TIMESTAMP_NTZ,false,,,,true,false,SCD Type 2 effective from
VALID_TO,TIMESTAMP_NTZ,true,,,,false,false,SCD Type 2 effective to
